ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
046FF8CF5462F6FB,classic_bike,50:29.3,57:05.8,Lewis Ave & Greene Ave,4543.07,Kosciuszko St & Nostrand Ave,4519.04,40.68995,-73.9365,40.69072549,-73.95133465,member
DAC14DB9AAE8AE7A,electric_bike,27:42.8,38:05.2,E 161 St & River Ave,8041.07,Washington Ave & E 163 St,7995.04,40.827883,-73.927111,40.824,-73.91089,member
5A57D4C19D970115,classic_bike,59:14.2,01:57.2,E 20 St & FDR Dr,5886.13,E 20 St & 2 Ave,5971.08,40.73320863,-73.97568136,40.73587678,-73.98205027,member
680C6E83D0064224,electric_bike,50:34.2,53:13.6,Clinton St & Grand St,5303.06,Allen St & Hester St,5343.1,40.71559509,-73.9870295,40.71606,-73.99191,casual
4A39D853FBB73BB8,electric_bike,14:34.4,21:38.0,Fulton St & Waverly Ave,4345.11,Garfield Pl & 8 Ave,3978.13,40.68323865,-73.96599591,40.6711978,-73.97484126,member
D77A990BF2D9A5F8,classic_bike,35:28.9,13:43.9,Broad St & Bridge St,4962.08,W 52 St & 11 Ave,6926.01,40.70365182,-74.01167797,40.76727216,-73.99392888,member
9A390FCBC5F9A5CB,electric_bike,08:35.6,18:51.7,E 53 St & 3 Ave,6617.02,Broadway & W 29 St,6289.06,40.75763228,-73.96930575,40.7462009,-73.98855723,member
A64E42F7A29A7D14,electric_bike,45:29.4,52:25.6,W 11 St & 6 Ave,5914.03,E 30 St & Park Ave S,6206.08,40.73532427,-73.99800419,40.74444921,-73.98303529,member
EB05A2156C5D28C4,electric_bike,59:06.2,01:56.0,W 20 St & 5 Ave,6098.02,W 20 St & 8 Ave,6224.05,40.73972989,-73.99103969,40.74345335,-74.00004031,member
580B2C093A9329B6,classic_bike,12:44.2,14:33.3,65 St & Roosevelt Ave,6267.08,61 St & 39 Ave,6307.07,40.74589,-73.89915,40.7471,-73.9028,member
901AFCD67CD0D5E5,electric_bike,27:00.2,43:53.2,University Ave & Morton Pl,8384.04,E 158 St & Melrose Ave,7957.11,40.85118155,-73.91465059,40.822215,-73.914688,member
3FD7E3F20B2EDFF6,classic_bike,39:51.8,00:43.7,E 33 St & 1 Ave,6197.08,Walker St & Baxter St,5351.07,40.74322681,-73.97449784,40.717411,-73.999573,member
6301910DF7CCE95C,classic_bike,25:48.0,34:47.4,W 20 St & 5 Ave,6098.02,W 20 St & 11 Ave,6306.07,40.73972989,-73.99103969,40.746745,-74.007756,member
45D8C85F31DE1B26,electric_bike,05:52.7,16:08.2,1 Ave & E 42 St,6303.02,W 51 St & 6 Ave,6740.1,40.7487575,-73.970127,40.7606597,-73.98042047,member
3FE87E4DC0BB8F64,electric_bike,56:25.5,01:23.7,Henry St & Atlantic Ave,4531.05,Jay St & Tech Pl,4710.06,40.69089272,-73.99612349,40.695065,-73.987167,casual
1FC8088F7D589514,electric_bike,17:11.9,24:56.8,7 Ave S & Bleecker St,5805.07,6 Ave & W 34 St,6364.1,40.73213896,-74.00363803,40.74964,-73.98805,member
B7AEDE8D97032F69,electric_bike,50:26.1,54:12.2,2 Ave & E 29 St,6122.09,E 19 St & 3 Ave,5938.01,40.74172351,-73.97809267,40.73624527,-73.98473765,member
9A1F4AA25506B101,electric_bike,33:55.6,38:44.9,Montague St & Clinton St,4677.06,Dock St & Front St,4903.09,40.6942715,-73.9923272,40.702709,-73.99253,member
3E6BF89CA0D8C617,electric_bike,44:33.4,58:36.8,Broadway & E 14 St,5905.12,W 43 St & 10 Ave,6756.01,40.73454567,-73.99074142,40.76009437,-73.99461843,member
77654D86A7B7542A,electric_bike,43:44.2,47:36.5,S Portland Ave & Hanson Pl,4354.05,Prospect Pl & 6 Ave,4166.08,40.68539567,-73.97431458,40.6793307,-73.97519523,member
5DBFB26893063F70,electric_bike,50:15.4,01:13.3,Broad St & Bridge St,4962.08,Cherry St,5181.04,40.70365182,-74.01167797,40.71219906,-73.97948148,casual
70BAE6C7CD0F0951,electric_bike,57:33.9,15:27.6,5 St & Market St,4843.01,Withers St & Kingsland Ave,5362.08,40.69999748,-73.97440128,40.71773,-73.94051,member
753F4ABBFA714511,electric_bike,25:29.7,33:03.0,E 6 St & Ave D,5506.14,Broadway & E 14 St,5905.12,40.72228087,-73.97668709,40.73454567,-73.99074142,member
ED149A8382214BB2,electric_bike,27:52.7,42:17.1,Carlton Ave & Flushing Ave,4732.08,Rivington St & Chrystie St,5453.01,40.697787,-73.973736,40.72110063,-73.9919254,member
03264A5A2CFD5C63,electric_bike,56:31.7,09:05.8,W 40 St & 7 Ave,6560.14,E 56 St & 3 Ave,6691.11,40.754818,-73.988154,40.75934501,-73.96759673,member
9F9C8BD3048488AB,electric_bike,02:49.1,10:58.2,University Pl & E 14 St,5905.14,Pier 40 - Hudson River Park,5696.03,40.734814,-73.992085,40.72771408,-74.01129574,member
48C7595E952474A5,classic_bike,30:43.0,44:10.0,8 Ave & W 38 St,6526.05,Thompson St & Bleecker St,5721.07,40.75461,-73.99177,40.72840059,-73.99968781,member
67DB93CD3AAB7DBF,electric_bike,05:50.4,14:05.9,Greenwich Ave & 8 Ave,6072.06,W 29 St & 9 Ave,6416.06,40.73901691,-74.00263761,40.7500727,-73.99839279,member
A97735FF186451B5,electric_bike,12:13.0,22:09.2,E 12 St & 3 Ave,5788.12,Canal St & Rutgers St,5303.08,40.73223272,-73.98889957,40.71427487,-73.98990025,member
DF182FE2F94A962A,classic_bike,27:30.7,35:34.1,N 6 St & Bedford Ave,5379.1,Driggs Ave & Lorimer St,5481.04,40.71745169,-73.95850939,40.72179134,-73.9504154,casual
EE70E652E4DD6E24,electric_bike,54:38.5,15:55.7,W 54 St & 9 Ave,6920.05,E 40 St & 5 Ave,6474.11,40.76604,-73.98737,40.75206231,-73.9816324,casual
3E34D96810008194,electric_bike,48:35.7,56:20.6,Central Park S & Grand Army Plaza,6839.15,W 36 St & 7 Ave,6483.06,40.764555,-73.973473,40.752149,-73.989539,member
8D94F06D0FDE776F,electric_bike,01:14.5,07:58.9,Leonard St & Church St,5359.11,Madison St & Montgomery St,5262.09,40.717571,-74.005549,40.713126,-73.984844,member
C4A8A84E21B63AFC,classic_bike,49:06.8,02:27.4,W 82 St & Central Park W,7304.08,Columbus Ave & W 59 St,6986.07,40.78275,-73.97137,40.76931,-73.98464,member
01D89A938EB06BA2,electric_bike,53:47.1,04:34.3,Lexington Ave & E 26 St,6089.08,W 16 St & The High Line,6233.05,40.741459,-73.983293,40.74334935,-74.00681753,member
897F7B7C536C8867,electric_bike,48:32.9,52:29.0,Fulton St & Waverly Ave,4345.11,Hanson Pl & Ashland Pl,4395.07,40.68323865,-73.96599591,40.68506807,-73.9779076,member
84047782D2A700D4,classic_bike,50:54.0,55:29.2,Suffolk St & Stanton St,5445.02,Clinton St & Grand St,5303.06,40.72066442,-73.98517977,40.71559509,-73.9870295,member
2202F2EDD989B977,electric_bike,22:27.3,33:34.5,Bushwick Ave & Stagg St,5140.06,Broadway & Roebling St,5125.07,40.709897,-73.94008,40.70924826,-73.96063149,member
CCD40CD392B6E6E0,electric_bike,11:07.7,13:45.5,Bergen St & Vanderbilt Ave,4157.1,Washington Ave & Park Pl,4116.09,40.6794388,-73.9680438,40.675832,-73.963308,member
48F710B61632426B,electric_bike,45:00.6,06:12.5,Lispenard St & Broadway,5391.06,Lispenard St & Broadway,5391.06,40.71939226,-74.00247214,40.71939226,-74.00247214,member
4B33DE134E693AE0,electric_bike,26:19.0,50:32.2,Washington Pl & 6 Ave,5838.09,St Marks Pl & 2 Ave,5669.1,40.73224119,-74.00026394,40.7284186,-73.98713956,member
6C652C5ECD0A31F1,electric_bike,17:01.2,30:20.2,Vesey Pl & River Terrace,5297.02,Concord St & Bridge St,4781.03,40.7153379,-74.01658354,40.69766564,-73.98476437,member
691C25424A049EAE,electric_bike,06:28.5,10:34.9,W 168 St & Fort Washington Ave,8226.07,W 180 St & Fort Washington Ave,8358.03,40.84210236,-73.94223958,40.849972,-73.938423,casual
6A5AC83E60F9155D,classic_bike,48:31.0,01:45.1,Colonial Rd & Wakeman Pl,2981.03,Shore Pkwy Greenway & Bay Ridge Ave,2942.07,40.64067,-74.0294,40.63896,-74.03678,casual
168C122F31ACBA10,classic_bike,09:15.6,14:51.9,Myrtle Ave & Lewis Ave,4729.01,Marcy Ave & Hart St,4593.05,40.69681963,-73.93756926,40.693022,-73.94868,member
DC5585CB0B60721C,electric_bike,14:18.6,17:54.0,74 St & 37 Ave,6332.06,34 Ave & 71 St,6493.03,40.74908,-73.89172,40.75257,-73.89538,member
A96DD1DF2420C213,electric_bike,32:49.5,45:19.7,Broadway & W 48 St,6708.04,1 Ave & E 38 St,6230.02,40.7601774,-73.98486793,40.746202,-73.971822,member
